id,phase,category,title,prompt,best_for,framework,tags
P1-024,Phase 1,Packaging Design,Beauty Product Packaging,"Design retail-ready packaging for [product] by [brand]. Use [color palette], clear hierarchy, refined typography space, realistic materials, and a polished studio presentation. Show the package upright in a three-quarter view with soft shadows and no random text.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"packaging-design, beauty-product-packaging, chatgpt-image-2, visual-prompt"
P1-025,Phase 1,Packaging Design,Food and Beverage Packaging,"Design retail-ready packaging for [product] by [brand]. Use [color palette], clear hierarchy, refined typography space, realistic materials, and a polished studio presentation. Show the package upright in a three-quarter view with soft shadows and no random text.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"packaging-design, food-and-beverage-packaging, chatgpt-image-2, visual-prompt"
P1-026,Phase 1,Packaging Design,Tech Accessory Packaging,"Design retail-ready packaging for [product] by [brand]. Use [color palette], clear hierarchy, refined typography space, realistic materials, and a polished studio presentation. Show the package upright in a three-quarter view with soft shadows and no random text.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"packaging-design, tech-accessory-packaging, chatgpt-image-2, visual-prompt"
P1-027,Phase 1,Packaging Design,Subscription Box Packaging,"Design retail-ready packaging for [product] by [brand]. Use [color palette], clear hierarchy, refined typography space, realistic materials, and a polished studio presentation. Show the package upright in a three-quarter view with soft shadows and no random text.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"packaging-design, subscription-box-packaging, chatgpt-image-2, visual-prompt"
P1-028,Phase 1,Packaging Design,Limited Edition Packaging,"Design retail-ready packaging for [product] by [brand]. Use [color palette], clear hierarchy, refined typography space, realistic materials, and a polished studio presentation. Show the package upright in a three-quarter view with soft shadows and no random text.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"packaging-design, limited-edition-packaging, chatgpt-image-2, visual-prompt"
P1-029,Phase 1,Packaging Design,Medicine or Wellness Packaging,"Design retail-ready packaging for [product] by [brand]. Use [color palette], clear hierarchy, refined typography space, realistic materials, and a polished studio presentation. Show the package upright in a three-quarter view with soft shadows and no random text.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"packaging-design, medicine-or-wellness-packaging, chatgpt-image-2, visual-prompt"
P1-030,Phase 1,Packaging Design,Refill System Packaging,"Design retail-ready packaging for [product] by [brand]. Use [color palette], clear hierarchy, refined typography space, realistic materials, and a polished studio presentation. Show the package upright in a three-quarter view with soft shadows and no random text.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"packaging-design, refill-system-packaging, chatgpt-image-2, visual-prompt"
P1-031,Phase 1,Brand Identity and Campaign Visuals,Brand Launch Visual,"Create a brand campaign visual for [brand/product] centered on [campaign theme]. Use consistent brand colors, premium composition, clear focal point, and space for headline copy. Communicate [brand values] with a commercially usable look.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"brand-identity-and-campaign-visuals, brand-launch-visual, chatgpt-image-2, visual-prompt"
P1-032,Phase 1,Brand Identity and Campaign Visuals,Brand Mood Board,"Create a brand campaign visual for [brand/product] centered on [campaign theme]. Use consistent brand colors, premium composition, clear focal point, and space for headline copy. Communicate [brand values] with a commercially usable look.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"brand-identity-and-campaign-visuals, brand-mood-board, chatgpt-image-2, visual-prompt"
P1-033,Phase 1,Brand Identity and Campaign Visuals,Campaign Key Visual,"Create a brand campaign visual for [brand/product] centered on [campaign theme]. Use consistent brand colors, premium composition, clear focal point, and space for headline copy. Communicate [brand values] with a commercially usable look.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"brand-identity-and-campaign-visuals, campaign-key-visual, chatgpt-image-2, visual-prompt"
P1-034,Phase 1,Brand Identity and Campaign Visuals,Before-and-After Visual,"Create a brand campaign visual for [brand/product] centered on [campaign theme]. Use consistent brand colors, premium composition, clear focal point, and space for headline copy. Communicate [brand values] with a commercially usable look.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"brand-identity-and-campaign-visuals, before-and-after-visual, chatgpt-image-2, visual-prompt"
P1-035,Phase 1,Brand Identity and Campaign Visuals,Founder Story Visual,"Create a brand campaign visual for [brand/product] centered on [campaign theme]. Use consistent brand colors, premium composition, clear focal point, and space for headline copy. Communicate [brand values] with a commercially usable look.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"brand-identity-and-campaign-visuals, founder-story-visual, chatgpt-image-2, visual-prompt"
P1-036,Phase 1,Brand Identity and Campaign Visuals,Brand Pattern System,"Create a brand campaign visual for [brand/product] centered on [campaign theme]. Use consistent brand colors, premium composition, clear focal point, and space for headline copy. Communicate [brand values] with a commercially usable look.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"brand-identity-and-campaign-visuals, brand-pattern-system, chatgpt-image-2, visual-prompt"
P1-037,Phase 1,Brand Identity and Campaign Visuals,Rebrand Concept Board,"Create a brand campaign visual for [brand/product] centered on [campaign theme]. Use consistent brand colors, premium composition, clear focal point, and space for headline copy. Communicate [brand values] with a commercially usable look.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"brand-identity-and-campaign-visuals, rebrand-concept-board, chatgpt-image-2, visual-prompt"
P1-038,Phase 1,Brand Identity and Campaign Visuals,Brand Mascot Visual,"Create a brand campaign visual for [brand/product] centered on [campaign theme]. Use consistent brand colors, premium composition, clear focal point, and space for headline copy. Communicate [brand values] with a commercially usable look.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"brand-identity-and-campaign-visuals, brand-mascot-visual, chatgpt-image-2, visual-prompt"
P1-039,Phase 1,"UI, App, and Digital Product Prompts",Mobile App Product Mockup,"Create a polished mobile app mockup for [app name], an app that helps users [main function]. Show three phone screens with clean UI, modern cards, intuitive navigation, realistic content blocks, and brand colors in [color palette].","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"ui-app-and-digital-product-prompts, mobile-app-product-mockup, chatgpt-image-2, visual-prompt"
P1-040,Phase 1,"UI, App, and Digital Product Prompts",SaaS Dashboard Concept,"Design a modern SaaS dashboard for [platform] showing metrics, charts, user activity, and navigation. Use a clean enterprise interface, strong spacing, subtle shadows, and realistic data visualization blocks.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"ui-app-and-digital-product-prompts, saas-dashboard-concept, chatgpt-image-2, visual-prompt"
P1-041,Phase 1,"UI, App, and Digital Product Prompts",Landing Page Visual,"Create a polished digital product visual for [app/platform] that helps users [main function]. Show clean interface screens, modern cards, intuitive navigation, realistic content blocks, and a consistent brand system in [color palette].","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"ui-app-and-digital-product-prompts, landing-page-visual, chatgpt-image-2, visual-prompt"
P1-042,Phase 1,"UI, App, and Digital Product Prompts",App Store Preview Screens,"Create a polished digital product visual for [app/platform] that helps users [main function]. Show clean interface screens, modern cards, intuitive navigation, realistic content blocks, and a consistent brand system in [color palette].","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"ui-app-and-digital-product-prompts, app-store-preview-screens, chatgpt-image-2, visual-prompt"
P1-043,Phase 1,"UI, App, and Digital Product Prompts",AI Tool Interface Concept,"Create a polished digital product visual for [app/platform] that helps users [main function]. Show clean interface screens, modern cards, intuitive navigation, realistic content blocks, and a consistent brand system in [color palette].","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"ui-app-and-digital-product-prompts, ai-tool-interface-concept, chatgpt-image-2, visual-prompt"
P1-044,Phase 1,"UI, App, and Digital Product Prompts",Fintech App Interface,"Create a polished digital product visual for [app/platform] that helps users [main function]. Show clean interface screens, modern cards, intuitive navigation, realistic content blocks, and a consistent brand system in [color palette].","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"ui-app-and-digital-product-prompts, fintech-app-interface, chatgpt-image-2, visual-prompt"
P1-045,Phase 1,"UI, App, and Digital Product Prompts",Education App Interface,"Create a polished digital product visual for [app/platform] that helps users [main function]. Show clean interface screens, modern cards, intuitive navigation, realistic content blocks, and a consistent brand system in [color palette].","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"ui-app-and-digital-product-prompts, education-app-interface, chatgpt-image-2, visual-prompt"
P1-046,Phase 1,"UI, App, and Digital Product Prompts",Marketplace App Interface,"Create a polished digital product visual for [app/platform] that helps users [main function]. Show clean interface screens, modern cards, intuitive navigation, realistic content blocks, and a consistent brand system in [color palette].","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"ui-app-and-digital-product-prompts, marketplace-app-interface, chatgpt-image-2, visual-prompt"
P1-047,Phase 1,Advertising and Social Content,Instagram Carousel Campaign,"Create a marketing asset for [product/service] designed for [platform]. Use a strong focal point, bold composition, clean space for headline and CTA, brand colors, and a polished commercial style suitable for paid or organic social.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"advertising-and-social-content, instagram-carousel-campaign, chatgpt-image-2, visual-prompt"
P1-048,Phase 1,Advertising and Social Content,TikTok Ad Concept Frame,"Create a marketing asset for [product/service] designed for [platform]. Use a strong focal point, bold composition, clean space for headline and CTA, brand colors, and a polished commercial style suitable for paid or organic social.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"advertising-and-social-content, tiktok-ad-concept-frame, chatgpt-image-2, visual-prompt"
P1-049,Phase 1,Advertising and Social Content,Billboard Advertisement,"Create a marketing asset for [product/service] designed for [platform]. Use a strong focal point, bold composition, clean space for headline and CTA, brand colors, and a polished commercial style suitable for paid or organic social.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"advertising-and-social-content, billboard-advertisement, chatgpt-image-2, visual-prompt"
P1-050,Phase 1,Advertising and Social Content,Email Header Graphic,"Create a marketing asset for [product/service] designed for [platform]. Use a strong focal point, bold composition, clean space for headline and CTA, brand colors, and a polished commercial style suitable for paid or organic social.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"advertising-and-social-content, email-header-graphic, chatgpt-image-2, visual-prompt"
P1-051,Phase 1,Advertising and Social Content,Sale Promotion Visual,"Create a marketing asset for [product/service] designed for [platform]. Use a strong focal point, bold composition, clean space for headline and CTA, brand colors, and a polished commercial style suitable for paid or organic social.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"advertising-and-social-content, sale-promotion-visual, chatgpt-image-2, visual-prompt"
P1-052,Phase 1,Advertising and Social Content,Product Launch Countdown Visual,"Create a marketing asset for [product/service] designed for [platform]. Use a strong focal point, bold composition, clean space for headline and CTA, brand colors, and a polished commercial style suitable for paid or organic social.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"advertising-and-social-content, product-launch-countdown-visual, chatgpt-image-2, visual-prompt"
P1-053,Phase 1,Advertising and Social Content,Testimonial Ad Visual,"Create a marketing asset for [product/service] designed for [platform]. Use a strong focal point, bold composition, clean space for headline and CTA, brand colors, and a polished commercial style suitable for paid or organic social.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"advertising-and-social-content, testimonial-ad-visual, chatgpt-image-2, visual-prompt"
P1-054,Phase 1,Advertising and Social Content,UGC-Style Product Ad,"Create a marketing asset for [product/service] designed for [platform]. Use a strong focal point, bold composition, clean space for headline and CTA, brand colors, and a polished commercial style suitable for paid or organic social.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"advertising-and-social-content, ugc-style-product-ad, chatgpt-image-2, visual-prompt"
P1-055,Phase 1,"Editorial, Commercial, and Lifestyle Scenes",Editorial Product Story,"Create a photorealistic lifestyle scene featuring [product/service] in [environment]. Use natural human context, warm lighting, realistic textures, editorial composition, and a clean aspirational mood while keeping the subject recognizable.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"editorial-commercial-and-lifestyle-scenes, editorial-product-story, chatgpt-image-2, visual-prompt"
P1-056,Phase 1,"Editorial, Commercial, and Lifestyle Scenes",Desk Setup Scene,"Create a photorealistic lifestyle scene featuring [product/service] in [environment]. Use natural human context, warm lighting, realistic textures, editorial composition, and a clean aspirational mood while keeping the subject recognizable.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"editorial-commercial-and-lifestyle-scenes, desk-setup-scene, chatgpt-image-2, visual-prompt"
P1-057,Phase 1,"Editorial, Commercial, and Lifestyle Scenes",Outdoor Lifestyle Scene,"Create a photorealistic lifestyle scene featuring [product/service] in [environment]. Use natural human context, warm lighting, realistic textures, editorial composition, and a clean aspirational mood while keeping the subject recognizable.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"editorial-commercial-and-lifestyle-scenes, outdoor-lifestyle-scene, chatgpt-image-2, visual-prompt"
P1-058,Phase 1,"Editorial, Commercial, and Lifestyle Scenes",Luxury Interior Scene,"Create a photorealistic lifestyle scene featuring [product/service] in [environment]. Use natural human context, warm lighting, realistic textures, editorial composition, and a clean aspirational mood while keeping the subject recognizable.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"editorial-commercial-and-lifestyle-scenes, luxury-interior-scene, chatgpt-image-2, visual-prompt"
P1-059,Phase 1,"Editorial, Commercial, and Lifestyle Scenes",Hands-in-Use Product Shot,"Create a photorealistic lifestyle scene featuring [product/service] in [environment]. Use natural human context, warm lighting, realistic textures, editorial composition, and a clean aspirational mood while keeping the subject recognizable.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"editorial-commercial-and-lifestyle-scenes, hands-in-use-product-shot, chatgpt-image-2, visual-prompt"
P1-060,Phase 1,"Editorial, Commercial, and Lifestyle Scenes",Morning Routine Scene,"Create a photorealistic lifestyle scene featuring [product/service] in [environment]. Use natural human context, warm lighting, realistic textures, editorial composition, and a clean aspirational mood while keeping the subject recognizable.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"editorial-commercial-and-lifestyle-scenes, morning-routine-scene, chatgpt-image-2, visual-prompt"
P1-061,Phase 1,"Editorial, Commercial, and Lifestyle Scenes",Professional Workspace Scene,"Create a photorealistic lifestyle scene featuring [product/service] in [environment]. Use natural human context, warm lighting, realistic textures, editorial composition, and a clean aspirational mood while keeping the subject recognizable.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"editorial-commercial-and-lifestyle-scenes, professional-workspace-scene, chatgpt-image-2, visual-prompt"
P1-062,Phase 1,"Editorial, Commercial, and Lifestyle Scenes",Retail Display Scene,"Create a photorealistic lifestyle scene featuring [product/service] in [environment]. Use natural human context, warm lighting, realistic textures, editorial composition, and a clean aspirational mood while keeping the subject recognizable.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"editorial-commercial-and-lifestyle-scenes, retail-display-scene, chatgpt-image-2, visual-prompt"
P1-063,Phase 1,Product Visualization and Explainers,Exploded View Product Visualization,"Create a clear product explainer visual for [product] highlighting [feature 1], [feature 2], and [feature 3]. Use sharp rendering, clean callout space, technical accuracy, strong hierarchy, and a professional presentation style.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"product-visualization-and-explainers, exploded-view-product-visualization, chatgpt-image-2, visual-prompt"
P1-064,Phase 1,Product Visualization and Explainers,Feature Callout Visual,"Create a clear product explainer visual for [product] highlighting [feature 1], [feature 2], and [feature 3]. Use sharp rendering, clean callout space, technical accuracy, strong hierarchy, and a professional presentation style.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"product-visualization-and-explainers, feature-callout-visual, chatgpt-image-2, visual-prompt"
P1-065,Phase 1,Product Visualization and Explainers,Material Detail Close-Up,"Create a clear product explainer visual for [product] highlighting [feature 1], [feature 2], and [feature 3]. Use sharp rendering, clean callout space, technical accuracy, strong hierarchy, and a professional presentation style.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"product-visualization-and-explainers, material-detail-close-up, chatgpt-image-2, visual-prompt"
